वर्णन,उद्योग,तह तह,आकार,लाइनकोड,मूल्य मूल्य
बाँकी रहेको ऋणको प्रकार: बैंकको ओभरड्राफ्ट,कूल,०,६१९ जना कर्मचारी,डी०२०१,१३२१५
बाँकी रहेको ऋणको प्रकार: बैंकको ओभरड्राफ्ट,कूल,०,२०४९ कर्मचारी,डी०२०१,३४०५ जना
बाँकी रहेको ऋणको प्रकार: बैंकको ओभरड्राफ्ट,कूल,०,५०९९ कर्मचारी,डी०२०१,९७८
बाँकी रहेको ऋणको प्रकार: बैंकको ओभरड्राफ्ट,कूल,०,१००+ कर्मचारी,डी०२०१,६८७ जना
बाँकी रहेको ऋणको प्रकार: बैंकको ओभरड्राफ्ट,"कृषि, वन तथा माछापालन",१ वटा,कूल,डी०२०१,१९७४ साल
बाँकी रहेको ऋणको प्रकार: बैंकको ओभरड्राफ्ट,कृषि,२ वटा,कूल,डी०२०१,१३७१ साल
बाँकी रहेको ऋणको प्रकार: बैंकको ओभरड्राफ्ट,व्यावसायिक माछापालन,२ वटा,कूल,डी०२०१,२४ वटा
बाँकी रहेको ऋणको प्रकार: बैंकको ओभरड्राफ्ट,वन तथा जङ्गल खेति,२ वटा,कूल,डी०२०१,११७ जना
बाँकी रहेको ऋणको प्रकार: बैंकको ओभरड्राफ्ट,"कृषि, वन तथा माछापालन सहयोग सेवा",२ वटा,कूल,डी०२०१,४६५ जना
बाँकी रहेको ऋणको प्रकार: बैंकको ओभरड्राफ्ट,खानी,१ वटा,कूल,डी०२०१,३० जना
बाँकी रहेको ऋणको प्रकार: बैंकको ओभरड्राफ्ट,विनिर्माण,१ वटा,कूल,डी०२०१,२४२४
बाँकी रहेको ऋणको प्रकार: बैंकको ओभरड्राफ्ट,"खाना, पेय पदार्थ तथा सुर्तीजन्य पदार्थ",२ वटा,कूल,डी०२०१,४७४ जना
बाँकी रहेको ऋणको प्रकार: बैंकको ओभरड्राफ्ट,"कपडा, कपडा, जुत्ता र छाला",२ वटा,कूल,डी०२०१,१३२ जना
बाँकी रहेको ऋणको प्रकार: बैंकको ओभरड्राफ्ट,वुड एन्ड पेपर प्रोडक्ट,२ वटा,कूल,डी०२०१,२४३ जना
बाँकी रहेको ऋणको प्रकार: बैंकको ओभरड्राफ्ट,"मुद्रण, प्रकाशन र अभिलेख मिडिया",२ वटा,कूल,डी०२०१,९० वटा
बाँकी रहेको ऋणको प्रकार: बैंकको ओभरड्राफ्ट,"पेट्रोलियम, कोइला, रासायनिक तथा सम्बन्धित उत्पादन",२ वटा,कूल,डी०२०१,१५३ जना
बाँकी रहेको ऋणको प्रकार: बैंकको ओभरड्राफ्ट,गैर धातुजन्य खनिज पदार्थ,२ वटा,कूल,डी०२०१,८७ जना
बाँकी रहेको ऋणको प्रकार: बैंकको ओभरड्राफ्ट,धातुजन्य वस्तु,२ वटा,कूल,डी०२०१,४२९
बाँकी रहेको ऋणको प्रकार: बैंकको ओभरड्राफ्ट,यातायात तथा औद्योगिक मेसिनरी तथा उपकरण,२ वटा,कूल,डी०२०१,५४६ जना
