वर्णन,उद्योग,तादा,साइज,लाइनकोड,साइला साइ
लेङ्बा छ्याइला तोसो: ब्याङ्कला ओभरड्रफ्ट,क्योम,0,६१९ कर्मचारी,डी०२०१,13215
लेङ्बा छ्याइला तोसो: ब्याङ्कला ओभरड्रफ्ट,क्योम,0,२०४९ कर्मचारी,डी०२०१,3405
लेङ्बा छ्याइला तोसो: ब्याङ्कला ओभरड्रफ्ट,क्योम,0,म्हेन्दो तोङ्जा ५०९९ कर्मचारी,डी०२०१,978
लेङ्बा छ्याइला तोसो: ब्याङ्कला ओभरड्रफ्ट,क्योम,0,ग्यार्जा गिकसे ल्हाना कर्मचारी,डी०२०१,687
लेङ्बा छ्याइला तोसो: ब्याङ्कला ओभरड्रफ्ट,"सानाम, ह्रि ओसेम तार्ङाछाप",1,क्योम,डी०२०१,1974
लेङ्बा छ्याइला तोसो: ब्याङ्कला ओभरड्रफ्ट,सानाम,2,क्योम,डी०२०१,1371
लेङ्बा छ्याइला तोसो: ब्याङ्कला ओभरड्रफ्ट,छोङनामकि तार्ङा,2,क्योम,डी०२०१,24
लेङ्बा छ्याइला तोसो: ब्याङ्कला ओभरड्रफ्ट,ह्रि ओसेम सास्हिङ,2,क्योम,डी०२०१,117
लेङ्बा छ्याइला तोसो: ब्याङ्कला ओभरड्रफ्ट,"सानाम, ह्रि ओसेम तार्ङाला ह्रो साप्तो",2,क्योम,डी०२०१,465
लेङ्बा छ्याइला तोसो: ब्याङ्कला ओभरड्रफ्ट,खानी,1,क्योम,डी०२०१,30
लेङ्बा छ्याइला तोसो: ब्याङ्कला ओभरड्रफ्ट,उत्पादन लाबा,1,क्योम,डी०२०१,2424
लेङ्बा छ्याइला तोसो: ब्याङ्कला ओभरड्रफ्ट,"चाबास्हे, पेय पदार्थ ओसेम सुर्तीजन्य पदार्थ",2,क्योम,डी०२०१,474
लेङ्बा छ्याइला तोसो: ब्याङ्कला ओभरड्रफ्ट,"टेक्सटाइल, क्वान, लाखाम, एन्ड लेदर",2,क्योम,डी०२०१,132
लेङ्बा छ्याइला तोसो: ब्याङ्कला ओभरड्रफ्ट,वुड एन्ड पेपर प्रोडक्ट,2,क्योम,डी०२०१,243
लेङ्बा छ्याइला तोसो: ब्याङ्कला ओभरड्रफ्ट,"छिपा, तेःबा ओसेम रेकर्ड लाबा मिडिया",2,क्योम,डी०२०१,90
लेङ्बा छ्याइला तोसो: ब्याङ्कला ओभरड्रफ्ट,"पेट्रोलियम, कोल, केमिकल, एन्ड एसोसिएटेड प्रोडक्ट",2,क्योम,डी०२०१,153
लेङ्बा छ्याइला तोसो: ब्याङ्कला ओभरड्रफ्ट,गैर धातुजन्य खनिज पदार्थ,2,क्योम,डी०२०१,87
लेङ्बा छ्याइला तोसो: ब्याङ्कला ओभरड्रफ्ट,धातुजन्य स्हे,2,क्योम,डी०२०१,429
लेङ्बा छ्याइला तोसो: ब्याङ्कला ओभरड्रफ्ट,यातायात ओसेम औद्योगिक यन्त्र ओसेम उपकरण,2,क्योम,डी०२०१,546
