वर्णन	उद्योग	तह तह	आकार	लाइनकोड	मूल्य मूल्य
बाँकी रहेको ऋणको प्रकार: बैंकको ओभरड्राफ्ट	कूल	0	६१९ जना कर्मचारी	डी०२०१	13215
बाँकी रहेको ऋणको प्रकार: बैंकको ओभरड्राफ्ट	कूल	0	२०४९ कर्मचारी	डी०२०१	3405
बाँकी रहेको ऋणको प्रकार: बैंकको ओभरड्राफ्ट	कूल	0	५०९९ कर्मचारी	डी०२०१	978
बाँकी रहेको ऋणको प्रकार: बैंकको ओभरड्राफ्ट	कूल	0	१००+ कर्मचारी	डी०२०१	687
बाँकी रहेको ऋणको प्रकार: बैंकको ओभरड्राफ्ट	कृषि, वन तथा माछापालन	1	कूल	डी०२०१	1974
बाँकी रहेको ऋणको प्रकार: बैंकको ओभरड्राफ्ट	कृषि	2	कूल	डी०२०१	1371
बाँकी रहेको ऋणको प्रकार: बैंकको ओभरड्राफ्ट	व्यावसायिक माछापालन	2	कूल	डी०२०१	24
बाँकी रहेको ऋणको प्रकार: बैंकको ओभरड्राफ्ट	वन तथा जङ्गल खेति	2	कूल	डी०२०१	117
बाँकी रहेको ऋणको प्रकार: बैंकको ओभरड्राफ्ट	कृषि, वन तथा माछापालन सहयोग सेवा	2	कूल	डी०२०१	465
बाँकी रहेको ऋणको प्रकार: बैंकको ओभरड्राफ्ट	खानी	1	कूल	डी०२०१	30
बाँकी रहेको ऋणको प्रकार: बैंकको ओभरड्राफ्ट	विनिर्माण	1	कूल	डी०२०१	2424
बाँकी रहेको ऋणको प्रकार: बैंकको ओभरड्राफ्ट	खाना, पेय पदार्थ तथा सुर्तीजन्य पदार्थ	2	कूल	डी०२०१	474
बाँकी रहेको ऋणको प्रकार: बैंकको ओभरड्राफ्ट	कपडा, कपडा, जुत्ता र छाला	2	कूल	डी०२०१	132
बाँकी रहेको ऋणको प्रकार: बैंकको ओभरड्राफ्ट	वुड एन्ड पेपर प्रोडक्ट	2	कूल	डी०२०१	243
बाँकी रहेको ऋणको प्रकार: बैंकको ओभरड्राफ्ट	मुद्रण, प्रकाशन र अभिलेख मिडिया	2	कूल	डी०२०१	90
बाँकी रहेको ऋणको प्रकार: बैंकको ओभरड्राफ्ट	पेट्रोलियम, कोइला, रासायनिक तथा सम्बन्धित उत्पादन	2	कूल	डी०२०१	153
बाँकी रहेको ऋणको प्रकार: बैंकको ओभरड्राफ्ट	गैर धातुजन्य खनिज पदार्थ	2	कूल	डी०२०१	87
बाँकी रहेको ऋणको प्रकार: बैंकको ओभरड्राफ्ट	धातुजन्य वस्तु	2	कूल	डी०२०१	429
बाँकी रहेको ऋणको प्रकार: बैंकको ओभरड्राफ्ट	यातायात तथा औद्योगिक मेसिनरी तथा उपकरण	2	कूल	डी०२०१	546
