description	उद्योग	तादा	साइज	लाइनकोड	साइला साइ
लेङ्बा छ्याइला तोसो: ब्याङ्कला ओभरड्रफ्ट	क्योम	० ग्याम	६१९ कर्मचारी	डी०२०१	१३२१५
लेङ्बा छ्याइला तोसो: ब्याङ्कला ओभरड्रफ्ट	क्योम	० ग्याम	२०४९ कर्मचारी	डी०२०१	३४०५ म्हेन्दो
लेङ्बा छ्याइला तोसो: ब्याङ्कला ओभरड्रफ्ट	क्योम	० ग्याम	म्हेन्दो तोङ्जा ५०९९ कर्मचारी	डी०२०१	९७८ दिङ
लेङ्बा छ्याइला तोसो: ब्याङ्कला ओभरड्रफ्ट	क्योम	० ग्याम	ग्यार्जा गिकसे ल्हाना कर्मचारी	डी०२०१	ग्यार्जा ६८७
लेङ्बा छ्याइला तोसो: ब्याङ्कला ओभरड्रफ्ट	सानाम, ह्रि ओसेम तार्ङाछाप	गिक	क्योम	डी०२०१	१९७४ दिङ
लेङ्बा छ्याइला तोसो: ब्याङ्कला ओभरड्रफ्ट	सानाम	२ गोर	क्योम	डी०२०१	१३७१ दिङ
लेङ्बा छ्याइला तोसो: ब्याङ्कला ओभरड्रफ्ट	छोङनामकि तार्ङा	२ गोर	क्योम	डी०२०१	२४ म्हेन्दो
लेङ्बा छ्याइला तोसो: ब्याङ्कला ओभरड्रफ्ट	ह्रि ओसेम सास्हिङ	२ गोर	क्योम	डी०२०१	ग्यार्जा ११७
लेङ्बा छ्याइला तोसो: ब्याङ्कला ओभरड्रफ्ट	सानाम, ह्रि ओसेम तार्ङाला ह्रो साप्तो	२ गोर	क्योम	डी०२०१	४६५ म्हेन्दो
लेङ्बा छ्याइला तोसो: ब्याङ्कला ओभरड्रफ्ट	खानी	गिक	क्योम	डी०२०१	३० म्हेन्दो
लेङ्बा छ्याइला तोसो: ब्याङ्कला ओभरड्रफ्ट	उत्पादन लाबा	गिक	क्योम	डी०२०१	२४२४
लेङ्बा छ्याइला तोसो: ब्याङ्कला ओभरड्रफ्ट	चाबास्हे, पेय पदार्थ ओसेम सुर्तीजन्य पदार्थ	२ गोर	क्योम	डी०२०१	४७४ म्हेन्दो
लेङ्बा छ्याइला तोसो: ब्याङ्कला ओभरड्रफ्ट	टेक्सटाइल, क्वान, लाखाम, एन्ड लेदर	२ गोर	क्योम	डी०२०१	ग्यार्जा १३२
लेङ्बा छ्याइला तोसो: ब्याङ्कला ओभरड्रफ्ट	वुड एन्ड पेपर प्रोडक्ट	२ गोर	क्योम	डी०२०१	ग्यार्जा २४३
लेङ्बा छ्याइला तोसो: ब्याङ्कला ओभरड्रफ्ट	छिपा, तेःबा ओसेम रेकर्ड लाबा मिडिया	२ गोर	क्योम	डी०२०१	९० दिङ
लेङ्बा छ्याइला तोसो: ब्याङ्कला ओभरड्रफ्ट	पेट्रोलियम, कोल, केमिकल, एन्ड एसोसिएटेड प्रोडक्ट	२ गोर	क्योम	डी०२०१	ग्यार्जा १५३
लेङ्बा छ्याइला तोसो: ब्याङ्कला ओभरड्रफ्ट	गैर धातुजन्य खनिज पदार्थ	२ गोर	क्योम	डी०२०१	८७ म्हेन्दो
लेङ्बा छ्याइला तोसो: ब्याङ्कला ओभरड्रफ्ट	धातुजन्य स्हे	२ गोर	क्योम	डी०२०१	४२९ म्हेन्दो
लेङ्बा छ्याइला तोसो: ब्याङ्कला ओभरड्रफ्ट	यातायात ओसेम औद्योगिक यन्त्र ओसेम उपकरण	२ गोर	क्योम	डी०२०१	५४६ म्हेन्दो
